category,id
패밀리레스토랑,5
피자,5
홍차전문점,5
스페인음식,5
한식,5
낙지요리,5
아귀찜해물찜,5
찌개전골,5
북문로떡볶이,5
갤러리카페,5
스마일명품찹쌀꽈배기,5
