category,id
지하철전철,0
거궁,0
복합문화공간,0
구청,0
거리골목,0
가구상가단지,0
관광안내소,0
인구보건복지협회,0
버스터미널정류장,0
지방교육청,0
군구립도서관,0
상공회의소,0
세계문화유산,0
워터파크,0
문화재,0
청소년복지시설,0
종합버스터미널,0
구민체육센터,0
천주교,0
문화센터,0
우체국,0
정류소정류장,0
면허시험장,0
관람체험,0
공항,0
실내체육관,0
광장,0
지역명소,0
아쿠아리움,0
서점,0
철도,0
기차역,0
적십자,0
배드민턴장,0
체육관,0
고용복지플러스센터,0
보건소,0
지방법원,0
병무청,0
지방노동청,0
공공행정시설,0
기념물,0
KTX정차역,0
공연장,0
불교,0
시외버스터미널,0
도서관,0
궁궐,0
지방검찰청,0
지하철출구번호,0
지하철차고지,0
국립병원,0
아파트관리,0
화장실,0
편의시설,0
아파트,0
교차로,0
도보코스,0
주식증권,0
중소기업벤처,0
종합운동장,0
모노레일,0
기타도로시설,0
예정공사중,0
수도권,0
여성모자복지시설,0
부속건물,0
월드컵경기장,0
공사공단,0
개발지구,0
보건지소,0
개신교,0
축구장,0
건강검진,0
한국공인중개사협회,0
71310,0
주상복합,0
오피스텔,0
기업빌딩,0
도로명칭,0
프로야구장,0
보행자,0
행정복지센터,0
SRT정차역,0
재개발재건축,0
문화유적,0
문화거리,0
고등학교,0
공사중,0
기념관생가,0
촬영장소,0
초등학교,0
공연연극시설,1
먹자거리,1
쇼핑센터할인매장,1
슈퍼마트,1
중고가구,1
방향제탈취제,1
애플서비스센터,1
정신건강의학과,1
종합패션,1
보청기,1
스포츠센터,1
SK주유소,1
헬스장,1
종합생활용품,1
화장품향수,1
쉐어하우스하숙,1
볼링장,1
아울렛,1
교습학원,1
롤러인라인스케이트장,1
중고가전,1
식료품,1
자동차,1
이비인후과,1
상가아케이드,1
반찬가게,1
음반CD,1
PC방,1
게임,1
요양병원,1
필라테스,1
신용조합,1
여성정장,1
한의원,1
요가원,1
문구팬시용품,1
인형장난감제조,1
세탁,1
콜택시,1
피부체형관리,1
온천스파,1
옷수선,1
