category,id
장난감,1
귀금속시계,1
고시원고시텔,1
GS칼텍스주유소,1
컴퓨터모니터,1
안과,1
장난감대여,1
은행,1
찜질방,1
휴대폰수리,1
사진스튜디오,1
이불담요,1
스포츠시설,1
KT,1
애견카페,1
북카페,1
드럭스토어,1
정형외과,1
노래방,1
한복대여,1
머리염색,1
안경원,1
자산관리자산운용,1
목욕탕사우나,1
수학학원,1
여성,1
피부과,1
운전학원,1
예식장,1
캐주얼웨어,1
한방병원,1
관리업,1
캠핑용품,1
바서실,1
컴퓨터수리,1
렌터카,1
장례식장,1
방탈출카페,1
운세사주,1
미용,1
가구인테리어,1
치과,1
종합병원,1
심리상담,1
컨설팅,1
비디오DVD,1
세무서,1
농협,1
지원대행,1
수리AS,1
하나은행,1
약국,1
호텔,1
영화관,1
백화점,1
병원의원,1
산후조리원,1
실내운전연습장,1
재활의학과,1
공인중개사,1
가정의학과,1
동물병원,1
오토바이용품,1
복권로또,1
ATV체험장,1
카쉐어링,1
모델하우스,1
편의점,1
경찰서,1
휴대폰,1
내과,1
가구,1
아기사진전문,1
인테리어디자인,1
외형복원덴트도색,1
지역화폐가맹점,1
영어학원,1
침구커튼,1
모텔,1
임대업,1
디지털인화,1
스크린골프장,1
발관리,1
검도장,1
현금인출기,1
레일바이크,1
타이어휠,1
소아청소년과,1
썬팅광택,1
네일아트네일샵,1
배달대행,1
전문건설업,1
등산아웃도어,1
밀도,1
수영장,1
수입가구,1
마사지지압,1
중고폰,1
키즈카페실내놀이터,1
어린이집,1
미용실,1
신경외과,1
비뇨의학과,1
구제의류,1
꽃집꽃배달,1
종합도소매,1
자전거,1
외과,1
컨벤션센터,1
컴퓨터,1
중개업,1
장소대여,1
산부인과,1
자동차검사소,1
종합가전,1
자동차정비수리,1
LPG충전소,1
시장,1
셀프빨래방,1
실용음악학원,1
악기,1
유기농산물,1
용달,1
유람선관광선,2
원예화훼농원,2
동물원,2
도시테마공원,2
레저테마,2
근린공원,2
산,2
산고개,2
시민공원,2
자연생태공원,2
자연공원,2
테마파크,2
호수연못저수지,2
유원지,2
낚시터,2
펜션,2
테마공원,2
전망대,2
강하천,2
휴양림산림욕장,2
캠핑야영장,2
케이블카,2
성곽명,2
눈썰매장,2
식물원수목원,2
부속시설,2
섬,2
미술관,3
갤러리화랑,3
박물관,3
체험홍보관,3
체험마을,3
과학관,3
전시관,3
보리밥,4
장금수부대찌개,4
72420,4
독일음식,4
전빈대떡,4
순대순댓국,4
굴요리,4
카페,4
카페디저트,4
칼국수만두,4
떡카페,4
찜닭,4
돈가스,4
101번지남산돈까스,4
국밥,4
라면,4
국수,4
블루보틀,4
스터디카페,4
가공식품,4
도넛,4
복어요리,4
한정식,4
죽,4
고기원칙,4
차,4
오리요리,4
감자탕,4
막국수,4
샌드위치,4
전복요리,4
고기뷔페,4
태국음식,4
양식,4
이탈리아음식,4
백반가정식,4
일식당,4
오뎅꼬치,4
베이커리,4
백숙삼계탕,4
육류고기요리,4
양갈비,4
요리주점,4
해산물뷔페,4
브런치,4
카레,4
호두과자,4
핫도그,4
냉면,4
양꼬치,4
도시락컵밥,4
멕시코남미음식,4
테이크아웃커피,4
김밥,4
오징어요리,4
만두,4
토스트,4
과일주스전문점,4
맥주호프,4
딤섬중식만두,4
한식뷔페,4
게요리,4
베이글,4
샤브샤브,4
일도씨닭갈비,4
해물생선요리,4
곱창막창양,4
소고기구이,4
바(BAR),4
바닷가재요리,4
바르바커피,4
닭갈비,4
와플,4
분식,4
프랑스음식,4
플라워카페,4
뷔페,4
햄버거,4
폐백이바지음식,4
포장마차,4
퓨전음식,4
와인,4
장어먹장어요리,4
전통민속주점,4
돼지고기구이,4
다이어트샐러드,4
대반전,4
주꾸미요리,4
생선회,4
이벤트파티,4
곰탕설렁탕,4
일식초밥뷔페,4
쌈밥,4
베트남음식,4
스테이크립,4
닭요리,4
해장국,4
빙수,4
이자카야,4
테마카페,4
닭볶음탕,4
생선구이,4
아이스크림,4
조개요리,4
대게요리,4
떡볶이,4
스파게티파스타전문,4
두부요리,4
아시아음식,4
종합분식,4
매운탕해물탕,4
인도음식,4
족발보쌈,4
신의주부대찌개,4
중식당,4
정육식당,4
기사식당,4
일본식라면,4
호떡,4
치킨닭강정,4
덮밥,4
비빔밥,4
케이크전문,4
우동소바,4
야식,4
초밥롤,4
초콜릿전문점,4
닭발,4
패밀리레스토랑,4
피자,4
홍차전문점,4
스페인음식,4
한식,4
낙지요리,4
아귀찜해물찜,4
찌개전골,4
북문로떡볶이,4
갤러리카페,4
스마일명품찹쌀꽈배기,4
