,stationKor,stationEng
236,뚝섬유원지,TtukseomPark
237,청담,Cheongdam
238,충무로,Chungmuro
239,명동,Myeongdong
240,회현,Hoehyeon
241,서울역,SeoulStation
242,숙대입구,SookmyungWomensUniv
243,삼각지,Samgakji
244,신용산,Sinyongsan
245,동작,Dongjak
246,총신대입구,ChongshinUniv
247,사당,Sadang
248,남영,Namyeong
249,용산,Yongsan
250,노량진,Noryangjin
251,대방,Daebang
252,영등포,Yeongdeungpo
253,신도림,Sindorim
254,이촌,Ichon
255,서빙고,Seobinggo
256,옥수,Oksu
257,왕십리,Wangsimni
258,청량리,Cheongnyangni
259,회기,Hoegi
260,외대앞,HankukUnivofForeignStudies
261,신이문,Sinimun
262,광운대,KwangwoonUniv
263,월계,Wolgye
264,녹천,Nokcheon
265,창동,Changdong
266,선릉,Seolleung
267,한티,Hanti
268,도곡,Dogok
269,구룡,Guryong
270,개포동,Gaepodong
271,대모산입구,Daemosan
272,왕십리,Wangsimni
273,수서,Suseo
274,복정,Bokjeong
275,신길,Singil
276,중랑,Jungnang
277,상봉,Sangbong
278,망우,Mangu
279,양원,Yangwon
280,구리,Guri
281,도농,Donong
282,양정,Yangjeong
283,덕소,Deokso
284,도심,Dosim
285,팔당,Paldang
286,운길산,Ungilsan
287,양수,Yangsu
288,신원,Sinwon
289,응봉,Eungbong
290,국수,Guksu
291,아신,Asin
292,오빈,Obin
293,양평,Yangpyeong
294,원덕,Wondeok
295,용문,Yongmun
296,지평,Jipyeong
297,서울역,SeoulStation
298,신촌,Sinchon
299,효창공원앞,HyochangPark
300,공덕,Gongdeok
301,홍대입구,HongikUniv
302,수색,Susaek
303,화전,Hwajeon
304,강매,Gangmae
305,행신,Haengsin
306,능곡,Neunggok
307,곡산,Goksan
308,풍산,Pungsan
309,일산,Ilsan
310,탄현,Tanhyeon
311,운정,Unjeong
312,금릉,Geumneung
313,월롱,Wollong
314,파주,Paju
315,문산,Munsan
316,임진강,Imjingang
317,광운대,KwangwoonUniv
318,청량리,Cheongnyangni
319,회기,Hoegi
320,상봉,Sangbong
321,망우,Mangu
322,신내,Sinnae
323,갈매,Galmae
324,별내,Byeollae
325,퇴계원,Toegyewon
326,사릉,Sareung
327,평내호평,PyeongnaeHopyeong
328,마석,Maseok
329,대성리,Daeseongri
330,청평,Cheongpyeong
331,상천,Sangcheon
332,가평,Gapyeong
333,굴봉산,Gulbongsan
334,백양리,Baegyangri
335,강촌,Gangchon
336,김유정,Gimyujeong
337,남춘천,Namchuncheon
338,석계,Seokgye
339,서강대,SogangUniv
340,백마,Baengma
341,야당,Yadang
342,금촌,Geumchon
343,금곡,Geumgok
344,천마산,Cheonmasan
345,봉명,Bongmyeong
346,쌍용,Ssangyong
347,아산,Asan
348,배방,Baebang
349,온양온천,Onyangoncheon
350,신창,Sinchang
351,경마공원,SeoulRacecoursePark
352,대공원,SeoulGrandPark
353,과천,Gwacheon
354,정부과천청사,GovernmentComplexGwacheon
355,인덕원,Indeogwon
356,평촌,Pyeongchon
357,범계,Beomgye
358,삼동,Samdong
359,경기광주,GyeonggiGwangju
360,초월,Chowol
361,곤지암,Gonjiam
362,신둔도예촌,Sindundoyechon
363,이천,Icheon
364,부발,Bubal
365,여주,Yeoju
366,구로,Guro
367,가산디지털단지,GasanDigitalComplex
368,금천구청,GeumcheonGuOffice
369,관악,Gwanak
370,안양,Anyang
371,명학,Myeonghak
372,금정,Geumjeong
373,의왕,Uiwang
374,성균관대,SungkyunkwanUniv
375,디지털미디어시티,DigitalMediaCity
376,춘천,Chuncheon
377,선바위,Seonbawi
378,석수,Seoksu
379,화서,Hwaseo
380,수원,Suwon
381,독산,Doksan
382,세류,Seryu
383,병점,Byeongjeom
384,세마,Sema
385,오산대,OsanCollege
386,송탄,Songtan
387,서정리,Seojeongri
388,평택,Pyeongtaek
389,성환,Seonghwan
390,직산,Jiksan
391,두정,Dujeong
392,천안,Cheonan
393,광명,Gwangmyeong
394,산본,Sanbon
395,대야미,Daeyami
396,반월,Banwol
397,상록수,Sangnoksu
398,한대앞,HanyangUnivatAnsan
399,중앙,Jungang
400,고잔,Gojan
401,초지,Choji
402,안산,Ansan
403,신길온천,Singiloncheon
404,정왕,Jeongwang
405,오이도,Oido
406,수리산,Surisan
407,오이도,Oido
408,개봉,Gaebong
409,오류동,Oryudong
410,역곡,Yeokgok
411,군포,Gunpo
412,당정,Dangjeong
413,서동탄,Seodongtan
414,부천,Bucheon
415,송내,Songnae
416,부평,Bupyeong
417,백운,Baegun
418,주안,Juan
419,제물포,Jemulpo
420,동인천,Dongincheon
421,인천,Incheon
422,구일,Guil
423,소사,Sosa
424,부개,Bugae
425,간석,Ganseok
426,도원,Dowon
427,온수,Onsu
428,중동,Jungdong
429,서울숲,Seoulforest
430,압구정로데오,Apgujeongrodeo
431,강남구청,GangnamguOffice
432,선정릉,Seonjeongneung
433,가천대,GachonUniv
434,태평,Taepyeong
435,모란,Moran
436,야탑,Yatap
437,서현,Seohyeon
438,수내,Sunae
439,정자,Jeongja
440,미금,Migeum
441,이매,Imae
442,신갈,Singal
443,상갈,Sanggal
444,청명,Cheongmyeong
445,영통,Yeongtong
446,망포,Mangpo
447,매탄권선,MaetanGwonseon
448,수원시청,SuwonCityHall
449,매교,Maegyo
450,달월,Dalwol
451,월곶,Wolgot
452,세종대왕릉,Sejongdaewangneung
453,오산,Osan
454,진위,Jinwi
455,동암,Dongam
456,도화,Dohwa
457,구성,Guseong
458,소래포구,Soraepogu
